IcdIn,IcdCIn,IcdOut1,IcdOut2,IcdOut3,Type,Prompt,Origin,NationalExtension,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
"I634",,"I6349",,,"USCreated","Cerebral infarction due to embolism of cerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I634",,"I6340",,,"USCreated","Cerebral infarction due to multiple emboli of cerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6340",,"I6340",,,"Before","Cerebral infarction due to multiple emboli of cerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6349",,"I6349",,,"Before","Cerebral infarction due to embolism of cerebral arteries","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I635",,"I6359",,,"USCreated","Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I635",,"I6350",,,"USCreated","Cerebral infarction due to multiple unspecified occlusion or stenosis of cerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6350",,"I6350",,,"Before","Cerebral infarction due to multiple unspecified occlusion or stenosis of cerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6359",,"I6359",,,"Before","Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I638",,"I6380",,,"USCreated","Other cerebral infarction, multiple","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I638",,"I6389",,,"USCreated","Other cerebral infarction","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6380",,"I6380",,,"Before","Other cerebral infarction, multiple","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6389",,"I6389",,,"Before","Other cerebral infarction","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I639",,"I6399",,,"USCreated","Cerebral infarction, unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I639",,"I6390",,,"USCreated","Cerebral infarction, multiple but otherwise unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6390",,"I6390",,,"Before","Cerebral infarction, multiple but otherwise unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I64",,"I6400",,,"USCreated","Strokes, multiple but not specified as hemorrhage or infarction","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I64",,"I6409",,,"USCreated","Stroke, not specified as hemorrhage or infarction","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6400",,"I6400",,,"Before","Strokes, multiple but not specified as hemorrhage or infarction","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6409",,"I6409",,,"Before","Stroke, not specified as hemorrhage or infarction","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
