ncicId,Icd,Icd2,InconsistentFor,Sex,SexConsistency,LowerAgeLimit,UpperAgeLimit,AgeConsistency,RareDisease,PromptRare,UnderlyingCauseUse,PromptUc,NationalExtension,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
10151,"Z321",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10152,"Z33",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10153,"Z340",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10154,"Z348",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10155,"Z349",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10156,"Z350",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10157,"Z351",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10158,"Z352",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10159,"Z353",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10160,"Z354",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10161,"Z355",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10162,"Z356",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10163,"Z357",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10164,"Z358",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10165,"Z359",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10166,"Z360",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10167,"Z361",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10168,"Z362",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10169,"Z363",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10170,"Z364",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10171,"Z365",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10172,"Z368",,,"F","M","y012","y055","M","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
