ncicId,Icd,Icd2,InconsistentFor,Sex,SexConsistency,LowerAgeLimit,UpperAgeLimit,AgeConsistency,RareDisease,PromptRare,UnderlyingCauseUse,PromptUc,NationalExtension,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
189,"A410",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
190,"A411",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
191,"A412",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
192,"A413",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
193,"A414",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
194,"A415",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
195,"A418",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
196,"A419",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
197,"A420",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
198,"A421",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
199,"A422",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
200,"A427",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
201,"A428",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
202,"A429",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
203,"A430",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
204,"A431",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
205,"A438",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
206,"A439",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
207,"A440",,,"9","9",999,999,"9","Y",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
208,"A441",,,"9","9",999,999,"9","Y",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
209,"A448",,,"9","9",999,999,"9","Y",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
210,"A449",,,"9","9",999,999,"9","Y",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
211,"A46",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
212,"A480",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
213,"A481",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
214,"A482",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
215,"A483",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
216,"A484",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
217,"A488",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
