id,label,code,chapter_no,chapter_range,chapter_name,subchapter_code,subchapter_name,ncd_cd_injuries,ill_defined
484168b4-f060-4c29-8e8c-f1dac41b82f0,Pneumopericardium,I319,IX,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,Noncommunicable diseases,No
40c1ef7a-a6d4-44e4-9e90-3a6901b6c2c2,Pneumoperitoneum,K668,XI,K00-K93,Diseases of the digestive system,K65-K67,Diseases of peritoneum,Noncommunicable diseases,No
7aef64e4-75cd-4718-8ba0-ddb504cb348e,Pneumopleurisy,J188,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
f2a2d22e-2093-4368-9e72-423c716911df,Pneumopleuritis,J188,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
3ef76e0b-4dea-4962-bb0e-4d13db43e9fa,Pneumopyopericardium,I301,IX,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,Noncommunicable diseases,No
ea4aebb8-28e9-4149-b6b4-909f65f06dfa,Pneumopyothorax,J869,X,J00-J99,Diseases of the respiratory system,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,Noncommunicable diseases,No
c7083ff1-4b91-445d-b970-858a40fbaf58,Pneumorrhagia,R048,XVIII,R00-R99,"Symptoms, signs  and abnormal clinical and laboratory findings not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,,Yes
2777dc6c-76a0-4c07-b056-a9b429e5d047,Pneumosepsis,J189,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
5909335f-90ab-4b3e-b428-f949f4b6df84,Pneumosepsis,J984,X,J00-J99,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,Noncommunicable diseases,No
51cfb094-ba4b-4c5c-8a1a-5fedf43eef89,Pneumosepsis infection,J984,X,J00-J99,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,Noncommunicable diseases,No
d3b7dfa1-f636-4f67-834c-170b134956b7,Pneumothoraces,J939,X,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,Noncommunicable diseases,No
41bfc3e9-01cb-450f-b0ce-c52fc06b6696,Pneumothorax,J939,X,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,Noncommunicable diseases,No
e8b4f88e-5dfb-49c0-b589-b56c4026838c,Po,R99,XVIII,R00-R99,"Symptoms, signs  and abnormal clinical and laboratory findings not elsewhere classified",R95-R99,Ill-defined and unknown causes of mortality,,Yes
8aa3094c-7fd4-4179-8cf1-8756e546f680,Po failed intake,R636,XVIII,R00-R99,"Symptoms, signs  and abnormal clinical and laboratory findings not elsewhere classified",R50-R69,General symptoms and signs,,Yes
d97befd2-bf06-4fe7-bba8-36085601a3a7,Poems syndrome,D477,II,C00-D48,Neoplasms,D37-D48,Neoplasms of uncertain or unknown behaviour,Noncommunicable diseases,No
00eebcaf-f87a-46c8-9b93-afca2751d5fc,Poikiloderma of civatte,L573,XII,L00-L99,Diseases of the skin and subcutaneous tissue,L55-L59,Radiation-related disorders of the skin and subcutaneous tissue,Noncommunicable diseases,No
188115dc-260d-4123-9b34-183c8ca4a061,Poikiloderma vasculare atrophicans,L945,XII,L00-L99,Diseases of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue,Noncommunicable diseases,No
e1d4b6b2-5c05-49b7-bb6f-06f4988c23cb,Poison ingestion,U99,,,,,,,No
da6167eb-7c22-4f4d-a345-0fdf41220457,Poisoning,U99,,,,,,,No
9ac4cfc7-ac37-4630-9b6a-cd3760a5d338,Poisoning by analeptics and opioid,T507,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",T36-T50,"Poisoning by drugs, medicaments and biological substances",,No
30527cbd-e2b8-4624-a580-cc7185d6d5fc,Poisoning by anthelmintics,T374,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",T36-T50,"Poisoning by drugs, medicaments and biological substances",,No
7561e10a-dfa0-4495-925f-e612edecced2,Poisoning by anticommoncold drugs,T485,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",T36-T50,"Poisoning by drugs, medicaments and biological substances",,No
89c3a063-ffc2-4dc6-923f-040a53a02f05,Poisoning by antidiarrheal drugs,T476,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",T36-T50,"Poisoning by drugs, medicaments and biological substances",,No
