code;label;terminal;underlyingCauseUse;usCreated;nonCreatedCode
A969;Arenaviral haemorrhagic fever, unspecified;1;1;0;
A97;Dengue;0;0;0;
A970;Dengue without warning signs;1;1;0;
A971;Dengue with warning signs;1;1;0;
A972;Severe Dengue;1;1;0;
A979;Dengue, unspecified;1;1;0;
A98;Other viral haemorrhagic fevers, not elsewhere classified;0;0;0;
A980;Crimean-Congo haemorrhagic fever;1;1;0;
A981;Omsk haemorrhagic fever;1;1;0;
A982;Kyasanur Forest disease;1;1;0;
A983;Marburg virus disease;1;1;0;
A984;Ebola virus disease;1;1;0;
A985;Haemorrhagic fever with renal syndrome;1;1;0;
A988;Other specified viral haemorrhagic fevers;1;1;0;
A99;Unspecified viral haemorrhagic fever;1;1;0;
B00;Herpesviral [herpes simplex] infections;0;0;0;
B000;Eczema herpeticum;1;1;0;
B001;Herpesviral vesicular dermatitis;1;1;0;
B002;Herpesviral gingivostomatitis and pharyngotonsillitis;1;1;0;
B003;Herpesviral meningitis;1;1;0;
B004;Herpesviral encephalitis;1;1;0;
B005;Herpesviral ocular disease;1;1;0;
B007;Disseminated herpesviral disease;1;1;0;
B008;Other forms of herpesviral infection;1;1;0;
B009;Herpesviral infection, unspecified;1;1;0;
B01;Varicella [chickenpox];0;0;0;
B010;Varicella meningitis;1;1;0;
B011;Varicella encephalitis;1;1;0;
B012;Varicella pneumonia;1;1;0;
B018;Varicella with other complications;1;1;0;
B019;Varicella without complication;1;1;0;
B02;Zoster [herpes zoster];0;0;0;
B020;Zoster encephalitis;1;1;0;
B021;Zoster meningitis;1;1;0;
B022;Zoster with other nervous system involvement;1;1;0;
B023;Zoster ocular disease;1;1;0;
B027;Disseminated zoster;1;1;0;
B028;Zoster with other complications;1;1;0;
B029;Zoster without complication;1;1;0;
B03;Smallpox;1;1;0;
B04;Monkeypox;1;1;0;
B05;Measles;0;0;0;
B050;Measles complicated by encephalitis;1;1;0;
B051;Measles complicated by meningitis;1;1;0;
B052;Measles complicated by pneumonia;1;1;0;
B053;Measles complicated by otitis media;1;1;0;
B054;Measles with intestinal complications;1;1;0;
B058;Measles with other complications;1;1;0;
B059;Measles without complication;1;1;0;
B06;Rubella [German measles];0;0;0;
B060;Rubella with neurological complications;1;1;0;
B068;Rubella with other complications;1;1;0;
B069;Rubella without complication;1;1;0;
B07;Viral warts;1;1;0;
B08;Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified;0;0;0;
B080;Other orthopoxvirus infections;1;1;0;
B081;Molluscum contagiosum;1;1;0;
B082;Exanthema subitum [sixth disease];1;1;0;
B083;Erythema infectiosum [fifth disease];1;1;0;
B084;Enteroviral vesicular stomatitis with exanthem;1;1;0;
B085;Enteroviral vesicular pharyngitis;1;1;0;
B088;Other specified viral infections characterized by skin and mucous membrane lesions;1;1;0;
B09;Unspecified viral infection characterized by skin and mucous membrane lesions;1;1;0;
B15;Acute hepatitis A;0;0;0;
B150;Hepatitis A with hepatic coma;1;1;0;
B159;Hepatitis A without hepatic coma;1;1;0;
B16;Acute hepatitis B;0;0;0;
B160;Acute hepatitis B with delta-agent (coinfection) with hepatic coma;1;1;0;
B161;Acute hepatitis B with delta-agent (coinfection) without hepatic coma;1;1;0;
B162;Acute hepatitis B without delta-agent with hepatic coma;1;1;0;
B169;Acute hepatitis B without delta-agent and without hepatic coma;1;1;0;
B17;Other acute viral hepatitis;0;0;0;
B170;Acute delta-(super)infection in chronic hepatitis B;1;1;0;
B171;Acute hepatitis C;1;1;0;
B172;Acute hepatitis E;1;1;0;
B178;Other specified acute viral hepatitis;1;1;0;
B179;Acute viral hepatitis, unspecified;1;1;0;
B18;Chronic viral hepatitis;0;0;0;
B180;Chronic viral hepatitis B with delta-agent;1;1;0;
B1800;Chronic viral hepatitis B with delta-agen, immune-tolerant phase;1;0;0;
B1809;Chronic viral hepatitis B with delta-agen, other and unspecified phase;1;0;0;
B181;Chronic viral hepatitis B without delta-agent;1;1;0;
B1810;Chronic viral hepatitis B without delta-agent, immune-tolerant phase;1;0;0;
B1819;Chronic viral hepatitis B without delta-agent, other and unspecified phase;1;0;0;
B182;Chronic viral hepatitis C;1;1;0;
B188;Other chronic viral hepatitis;1;1;0;
B189;Chronic viral hepatitis, unspecified;1;1;0;
B19;Unspecified viral hepatitis;0;0;0;
B190;Unspecified viral hepatitis with hepatic coma;1;1;0;
B199;Unspecified viral hepatitis without hepatic coma;1;1;0;
B20;Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases;0;0;0;
B200;HIV disease resulting in mycobacterial infection;1;1;0;
B201;HIV disease resulting in other bacterial infections;1;1;0;
B202;HIV disease resulting in cytomegaloviral disease;1;1;0;
B203;HIV disease resulting in other viral infections;1;1;0;
B204;HIV disease resulting in candidiasis;1;1;0;
B205;HIV disease resulting in other mycoses;1;1;0;
B206;HIV disease resulting in Pneumocystis jirovecii pneumonia;1;1;0;
B207;HIV disease resulting in multiple infections;1;1;0;
B208;HIV disease resulting in other infectious and parasitic diseases;1;1;0;
B209;HIV disease resulting in unspecified infectious or parasitic disease;1;1;0;
B21;Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms;0;0;0;
B210;HIV disease resulting in Kaposi sarcoma;1;1;0;
B211;HIV disease resulting in Burkitt lymphoma;1;1;0;
B212;HIV disease resulting in other types of non-Hodgkin lymphoma;1;1;0;
B213;HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue;1;1;0;
B217;HIV disease resulting in multiple malignant neoplasms;1;1;0;
B218;HIV disease resulting in other malignant neoplasms;1;1;0;
